Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
AJ Green,67,642,167,123,31,5,185,58,0,0,0,0,717.5,10.71
Taylor Hendricks,53,390,191,52,42,29,56,44,0,0,2,0,566.0,10.68
DeAndre Jordan,10,41,64,8,3,8,0,9,0,0,0,0,105.5,10.55
Vít Krejčí,64,548,148,100,47,18,128,41,0,0,0,0,675.0,10.55
Cam Thomas,42,567,71,108,9,4,52,74,1,0,0,0,441.5,10.51
Gary Payton II,64,450,223,110,56,19,36,56,0,0,2,0,672.0,10.5
Jaxson Hayes,61,429,248,54,27,45,2,26,0,0,1,0,636.5,10.43
Caris LeVert,52,380,101,141,46,32,53,73,0,0,0,0,541.5,10.41
Grant Williams,28,191,108,48,11,12,38,25,0,0,0,0,291.5,10.41
Olivier-Maxence Prosper,47,416,161,45,34,12,46,42,0,0,1,0,488.0,10.38
Walter Clayton Jr.,61,448,122,236,41,16,61,95,0,0,0,0,631.5,10.35
Simone Fontecchio,64,544,198,94,34,9,111,47,0,0,0,0,658.5,10.29
Kris Murray,48,285,179,63,46,19,29,37,0,0,0,0,492.0,10.25
John Konchar,46,164,159,70,61,26,20,27,0,0,0,0,468.0,10.17
Svi Mykhailiuk,48,438,118,91,24,3,89,39,0,0,0,0,487.5,10.16
Jaden Ivey,37,316,91,68,23,14,50,41,0,0,0,0,375.0,10.14
Nikola Jović,46,339,153,100,26,17,44,65,0,0,0,0,465.5,10.12
Landry Shamet,46,442,85,67,27,9,95,28,0,0,0,0,464.5,10.1
Nolan Traore,49,408,81,183,33,20,49,107,0,0,1,0,492.5,10.05
Adem Bona,63,306,285,28,27,80,2,51,0,0,1,0,631.0,10.02
MarJon Beauchamp,11,89,31,14,9,4,15,13,0,0,0,0,110.0,10.0
Josh Minott,44,299,144,42,37,19,54,36,0,0,1,0,439.5,9.99
Ryan Nembhard,51,325,99,252,19,1,43,71,0,0,3,0,507.0,9.94
Elijah Harkless,23,153,41,62,27,4,18,23,0,0,1,0,228.5,9.93
Luka Garza,62,469,243,57,25,24,47,43,0,0,1,0,614.0,9.9
